text,labels,lang,id,translation
Project Management,"['Board, Strategy & Management']",English,Greece-9965,Project Management
Yeni Tecil Faiz Oranı,['Banking & Financial Markets'],Turkish,Turkey-9440,New postponement interest rate
הארכת הוראת השעה בעניין אי תחולת כללי IFRS לצורכי מס גם לשנות המס 2012 – 2013,"['Tax', 'Accounting & Assurance']",Hebrew,Israel-4473,Extension of the Top In regard to IFRS general applicability for tax purposes also to change tax 2012 - 2013
KDV Oranları,['VAT & Customs'],Turkish,Turkey-7957,VAT Rates
Tietohallinnon strateginen johtaminen,"['Board, Strategy & Management', 'Technology']",Finnish,Finland-3464,Strategic management of information management
Las ciberseguridad se convierte en la principal preocupación de los inversores en todo el mundo,['IT Security'],Spanish,Spain-2221,Cybersecurity becomes the main concern of investors worldwide
İthalatta Gözetim Uygulanmasına İlişkin Tebliğ (Tebliğ No: 2009/8)’de Değişiklik,['VAT & Customs'],Turkish,Turkey-7812,Communiqué on the Implementation of Import (Communiqué No: 2009/8)
Customer strategy,"['Retail & Consumers', 'Board, Strategy & Management']",English,Greece-10486,Customer strategy
Τεχνική Ενημέρωση: Παράταση αναστολής συμβάσεων εργασίας,"['Human Resource', 'Technology']",Greek,Greece-10323,Technical Update: Extension of employment of employment
"Tax and Legal News, June 2020",['Tax'],English,Finland-3217,"Tax and Legal News, June 2020"
COVID-19 og GDPR: hva må du forholde deg til?,"['Governance, Controls & Compliance', 'Healthcare & Pharmaceuticals']",Norwegian,Norway-11877,COVID-19 and GDPR: What do you have to deal with?
Fundacja rodzinna w Holandii  | PwC,['SME & Family Business'],Polish,Poland-950,Family Foundation in the Netherlands Pwc
Digitaalinen muutos,['Technology'],Finnish,Finland-3471,Digital change
Encuesta mundial sobre fraude y delito económico 2018,['Financial Crime'],Spanish,Spain-2754,World Survey on Economic Fraud and Crime 2018
Statutory audits,"['Accounting & Assurance', 'Government & Policy']",English,Turkey-5325,Statutory audits
В Москве состоялся VII Всероссийский Форум по корпоративному управлению: «Цифровая экономика: выжить или преуспеть?»,"['Governance, Controls & Compliance', 'Technology']",Russian,Russia-11575,"In Moscow, the VII All -Russian Forum on Corporate Management was held: ""Digital economy: to survive or succeed?"""
İthalatta Haksız Rekabetin Önlenmesine İlişkin Tebliğ (Tebliğ No: 2018/36),"['VAT & Customs', 'Governance, Controls & Compliance']",Turkish,Turkey-7481,Communiqué on the Prevention of Unfair Competition in Imports (Communiqué No: 2018/36)
İthalatta Gözetim Uygulanmasına İlişkin Tebliğ (Tebliğ No: 2005/5)’de Değişiklik,['VAT & Customs'],Turkish,Turkey-7809,Communiqué on the Implementation of Imports (Communiqué No: 2005/5)
EU Green Bond Standard Public Consultation,"['Corporate Responsibility', 'Government & Policy']",English,Denmark-13194,EU Green Bond Standard Public Consultation
COSO ERM Framework,"['Governance, Controls & Compliance']",English,Israel-3924,COSO ERM Framework
Презентация премии «Деловая книга года в России» на Книжном фестивале «Красная площадь — 2018»,"['Entertainment, Media & eSport']",Russian,Russia-11618,"Presentation of the Prize ""Business Book of the Year in Russia"" at the Book Festival ""Red Square - 2018"""
Eğitim harcamaları ücret ilişkisi,"['Human Resource', 'Accounting & Assurance']",Turkish,Turkey-8657,Educational expenditures wage relationship
Derecho laboral,['Human Resource'],Spanish,Spain-184,Labor Law
Διοίκηση και Διαδοχή Επιχειρήσεων Μικρού Μεγέθους - Πρακτικά Θέματα,['SME & Family Business'],Greek,Greece-9941,Small Small Business Administration and Succession - Practical Topics
"The circular economy in the energy, utilities and resources","['Power, Energy & Renewables']",English,Turkey-5689,"The circular economy in the energy, utilities and resources"
Zwolnienia podatkowe dotyczące delegowanych pracowników,"['Tax', 'Human Resource']",Polish,Poland-1072,Tax exemptions regarding delegated employees
Pil ve Akümülatörlerin Serbest Dolaşıma Giriş İşlemlerinin Yapılacağı Gümrük Müdürlüklerine Derince Gümrük Müdürlüğünün Eklenmesi,['VAT & Customs'],Turkish,Turkey-8134,Adding Derince Customs Directorate to the Customs Directorates where batteries and accumulators will be entered into free circulation
La tecnología principal amenaza para las compañías de seguros principal,"['Actuary, Pension & Insurance', 'Technology', 'IT Security']",Spanish,Spain-2323,The main threat technology for main insurance companies
The new VAT rate matrix | PwC,['VAT & Customs'],English,Poland-511,The new VAT rate matrix | PwC
"פרשנות מספר 21 של הוועדה לפרשנויות של תקני דיווח כספי בינלאומיים: ""היטלים""","['Accounting & Assurance', 'Healthcare & Pharmaceuticals', 'Board, Strategy & Management']",Hebrew,Israel-4189,"Interpretation No. 21 of the Committee on Interpretation of International Financial Report Standards: ""Hites"""
"By 2030, the transport sector will require 138 million fewer cars in Europe and the US",['Supply Chain & Transport'],English,Global-14010,"By 2030, the transport sector will require 138 million fewer cars in Europe and the US"
UFRS / TFRS Bülteni - Temmuz 2018 - Özel Sayı,['Accounting & Assurance'],Turkish,Turkey-6534,UFRS / TFRS Bulletin - July 2018 - Special Number
Kettős kihívás előtt a közép-európai közműszolgáltatók,"['Power, Energy & Renewables']",Hungarian,Hungary-80,A double challenge before Central European utilities
Finanssiala,['Banking & Financial Markets'],Finnish,Finland-3835,Financial sector
Kurumlar vergisi beyan dönemi hatırlatmaları (1),['Tax'],Turkish,Turkey-8690,Corporate Tax Declaration Period reminders (1)
El Brexit también impacta en los contratos privados. Cómo y por qué es preciso analizar los acuerdos entre particulares,['Government & Policy'],Spanish,Spain-251,Brexit also impacts private contracts. How and why it is necessary to analyze the agreements between individuals
Regeringens planer - Helhedsplan og finanslov 2017,['Government & Policy'],Danish,Denmark-12121,Government Plans - Overall Plan and Finance Act 2017
The talent challenge: Harnessing the power of human skills in the machine age,['Human Resource'],English,Turkey-5945,The talent challenge: Harnessing the power of human skills in the machine age
19th Annual Global CEO Survey - Key findings in the banking and capital markets sector,"['Banking & Financial Markets', 'Board, Strategy & Management']",English,Greece-10928,19th Annual Global CEO Survey - Key findings in the banking and capital markets sector
Obligatoriedad de registro de la jornada de trabajo,['Human Resource'],Spanish,Spain-1320,Obligatory registration of the work day
Sikker og robust datadeling på tværs af myndigheder er fundamentet for god borgerservice,"['Technology', 'Government & Policy']",Danish,Denmark-12591,Safe and robust data sharing across authorities is the foundation of good citizen service
Government guarantee schemes to support the liquidity of Danish enterprises,"['Government & Policy', 'Accounting & Assurance']",English,Denmark-13085,Government guarantee schemes to support the liquidity of Danish enterprises
Familieejede virksomheder og Family Office,['SME & Family Business'],Danish,Denmark-12285,Family -owned businesses and Family Office
¿Están preparadas las eléctricas para el nuevo mercado de la energía?,"['Power, Energy & Renewables']",Spanish,Spain-1111,Are electricity prepared for the new energy market?
Data consumption,['Technology'],English,Italy-4905,Data consumption
¿Cómo podemos dar solución a los grandes problemas sociales globales?,['Corporate Responsibility'],Spanish,Spain-1830,How can we solve the great global social problems?
Auditoría - Auditoría de cuentas,['Accounting & Assurance'],Spanish,Spain-212,Audit - Accounts Audit
Global FinTech Report 2019,"['Banking & Financial Markets', 'Technology']",English,Turkey-5700,Global FinTech Report 2019
Vil du udvikle din forretning?,"['Board, Strategy & Management']",Danish,Denmark-12560,Wanna develop your business?
Cyber Security in Shipping during COVID-19 pandemic,"['IT Security', 'Supply Chain & Transport', 'Healthcare & Pharmaceuticals']",English,Greece-10689,Cyber Security in Shipping during COVID-19 pandemic
EDGE - PwC Deals Graduate programme for EMEA,"['Human Resource', 'M&A & Valuations']",English,Finland-2880,EDGE - PwC Deals Graduate programme for EMEA
Bästa skatterådgivaren i Sverige enligt World Finance,['Tax'],Swedish,Sweden-14169,Best tax advisor in Sweden according to World Finance
El sector inmobiliario afronta 2013 con un optimismo moderado y espera que marque el inicio de la reactivación del mercado,['Real Estate & Construction'],Spanish,Spain-2032,The real estate sector faces 2013 with moderate optimism and hopes that the beginning of market reactivation will mark
Istotne zmiany w cenach transferowych,['Tax'],Polish,Poland-1147,Significant changes in transfer prices
שאלוני גילוי לגבי דוחות כספיים שנתיים לשנת 2013 הערוכים לפי תקני ה-IFRS ותקנות ניירות ערך,"['Accounting & Assurance', 'Banking & Financial Markets']",Hebrew,Israel-4179,Well-disclosed questionnaires for annual financial statements for 2013 are prepared according to IFRS standards and securities regulations
Momsvejledning 2016,['VAT & Customs'],Danish,Denmark-13511,VAT Guide 2016
"Auditor Proud,Auditor Proud,Auditor Proud,Auditor Proud,Auditor Proud",['Accounting & Assurance'],English,Spain-2598,"Auditor Proud,Auditor Proud,Auditor Proud,Auditor Proud,Auditor Proud"
İki telekom operatörünün hikayesi: Sektörün geleceğine bakış,['Technology'],Turkish,Turkey-6409,The story of two telecom operators: look at the future of the sector
İthalatta Haksız Rekabetin Önlenmesine İlişkin Tebliğ (Tebliğ No: 2018/10),"['VAT & Customs', 'Governance, Controls & Compliance']",Turkish,Turkey-7488,Communiqué on the Prevention of Unfair Competition in Imports (Communiqué No: 2018/10)
"Названы победители Премии в сфере корпоративного налогообложения – 2018, учрежденной РСПП совместно с PwC","['Tax', 'Start-Up, Innovation & Entrepreneurship']",Russian,Russia-11623,"Named winners of the Corporate Tax Prize - 2018, established by the RSPP together with PWC"
PwC completa la adquisición de Booz & Company,['M&A & Valuations'],Spanish,Spain-2066,PWC completes the acquisition of Booz & Company
Uluslararası Finansal Raporlama Standartları: İlaç ve yaşam bilimleri sektörleriyle ilgili sorunlar ve çözümleri,"['Healthcare & Pharmaceuticals', 'Accounting & Assurance']",Turkish,Turkey-8999,International Financial Reporting Standards: Problems and Solutions related to Pharmaceutical and Life Sciences Sectors
How can the tax obligations of companies change from responses to COVID-19?,"['Tax', 'Healthcare & Pharmaceuticals']",English,Greece-10848,How can the tax obligations of companies change from responses to COVID-19?
New Regulation from EU Parliament on Whistleblowing Mechanism: How can you protect the whistleblower?,"['Governance, Controls & Compliance', 'Human Resource', 'Government & Policy']",English,Turkey-5295,New Regulation from EU Parliament on Whistleblowing Mechanism: How can you protect the whistleblower?
"פסק דין חדש: מחילה על חוב לא תמיד חייבת במע""מ","['VAT & Customs', 'Accounting & Assurance']",Hebrew,Israel-4418,New ruling: Insolving on debt does not always owe VAT
Regeringens forslag til finanslov,['Government & Policy'],Danish,Denmark-13611,Government's proposal for Finance Act
Global Power & Utilities Survey,"['Power, Energy & Renewables']",English,Finland-3437,Global Power & Utilities Survey
Nye regler - Hvornår kan frivillig indbetaling af acontoskat betale sig?,['Tax'],Danish,Denmark-13653,New rules - When can voluntary payment of on -account tax pay off?
"Podcast: Nyt om skat, uge 22 - 5 gode råd til forældrekøbet",['Tax'],Danish,Denmark-12809,"Podcast: New about Tax, Week 22 - 5 Good Tips for Parenting"
Increasing the female employment rate across the OECD to match that of Sweden could boost GDP by US$6 trillion - PwC,"['Human Resource', 'Corporate Responsibility', 'Government & Policy']",English,Global-14158,Increasing the female employment rate across the OECD to match that of Sweden could boost GDP by US$6 trillion - PwC
Comunicación al ICAC de Cuentas Anuales depositadas fuera de plazo,['Accounting & Assurance'],Spanish,Spain-1309,Communication to ICAC of annual accounts deposited outside
Social sikring: Hvad er arbejde i udlandet?,"['Actuary, Pension & Insurance', 'Human Resource']",Danish,Denmark-12378,Social Security: What is work abroad?
"Digitalisering, tilgængelighed og information",['Technology'],Danish,Denmark-13434,"Digitization, Availability and Information"
Nowy podatek solidarnościowy dla najbogatszych oraz nowe obciążenie ZUS – co to oznacza w praktyce?,"['Tax', 'Actuary, Pension & Insurance', 'Asset & wealth management']",Polish,Poland-1149,A new solidarity tax for the richest and a new ZUS burden - what does this mean in practice?
Startuje nowa kampania rekrutacyjna PwC „People story”,['Human Resource'],Polish,Poland-1744,"The new recruitment campaign of PwC ""People Story"" is starting"
Deal summary Cadmatic Oy,['M&A & Valuations'],English,Finland-3042,Deal summary Cadmatic Oy
Gwiazdy bankowości po raz drugi nagrodzone przez  „Dziennik Gazetę Prawną” i PwC,['Banking & Financial Markets'],Polish,Poland-1477,Banking stars awarded for the second time by Dziennik Gazeta Prawna and PwC
"Truslen fra cyberkriminalitet bekymrer fortsat mange, og flere rammes af cyberhændelser",['IT Security'],Danish,Denmark-13407,"The threat of cybercrime still worries many, and more are affected by cyber incidents"
Küresel Bilgi Güvenliği Araştırması 2018,['IT Security'],Turkish,Turkey-6648,Global Information Security Research 2018
İthalat rejimi kararına ek karar (2017/10994),['VAT & Customs'],Turkish,Turkey-7355,Additional Decision on the Import Regime Decision (2017/10994)
PwC's Mini MBA Programme,['Human Resource'],English,Greece-9926,PwC's Mini MBA Programme
Contacta con Forensic Services - Prevención y Detección de Fraude,['Financial Crime'],Spanish,Spain-1365,Contact Forensic Services - Fraud prevention and detection
34 Digital Innovation Hubs zakwalifikowanych do programu Smart Factories otrzyma wsparcie PwC i Oxentia,"['Technology', 'Start-Up, Innovation & Entrepreneurship']",Polish,Poland-1638,34 Digital Innovation Hubs qualified for the Smart Factories program will receive PwC and Oxentia support
Information & Technology,['Technology'],English,Iceland-11275,Information & Technology
Brexit: Hvad er status? (uge 1),['Government & Policy'],Danish,Denmark-12674,Brexit: What is status? (Week 1)
"מבזק מס 13/2011- דחיית מועד הדיווח השנתי למע""מ של עוסקים הרשומים באיחוד עוסקים","['VAT & Customs', 'Accounting & Assurance']",Hebrew,Israel-4337,Bezeq No. 13/2011- Rejecting the annual reporting date for VAT of the Union Business
Entretenimiento y Medios Outlook 2019,"['Entertainment, Media & eSport']",Spanish,Spain-2593,Entertainment and media outlook 2019
Speedy transformation and innovation that is brought by customer service consulting remains in high demand,"['Start-Up, Innovation & Entrepreneurship', 'Retail & Consumers']",English,Global-13781,Speedy transformation and innovation that is brought by customer service consulting remains in high demand
Digitaalinen muutos,['Technology'],Finnish,Finland-3719,Digital change
IFRS 15 - udskydelse og ændringsforslag til Revenue from Contracts with Customers,['Accounting & Assurance'],Danish,Denmark-13319,IFRS 15 - Postponement and Amendments to Revenue From Contracts With Customers
2018 Vergileri Ne Oldu?,['Tax'],Turkish,Turkey-8630,What happened to the 2018 taxes?
Audit,['Accounting & Assurance'],English,Spain-2654,Audit
Encuesta sobre fraude y delito económico 2014,['Financial Crime'],Spanish,Spain-1681,Survey on fraud and economic crime 2014
İthalatta haksız rekabetin önlenmesine ilişkin tebliğ ( tebliğ no: 2017/28),"['VAT & Customs', 'Governance, Controls & Compliance']",Turkish,Turkey-7369,Communiqué on the Prevention of Unfair Competition in Imports (Communiqué No: 2017/28)
Güvenli Parola Depolama,"['IT Security', 'Technology']",Turkish,Turkey-8579,Secure password storage
Dahilde İşleme Rejimi Tebliği (İhracat: 2006/12)’nde Değişiklik,['VAT & Customs'],Turkish,Turkey-7727,Amendment to the Communiqué on Inward Processing Regime (Export: 2006/12)
AB Menşeli Olmayan Mobilya Sınıfı Ürünlerin Serbest Dolaşıma Giriş İşlemlerinin Yapılacağı Gümrük Müdürlükleri,"['VAT & Customs', 'Government & Policy']",Turkish,Turkey-8133,Customs Directorates where non -EU origin furniture class products will be entered into free circulation
Tax Flash: VAT relief on bad debts – ECJ Decision in favour of taxpayers,"['VAT & Customs', 'Accounting & Assurance']",English,Greece-10900,Tax Flash: VAT relief on bad debts – ECJ Decision in favour of taxpayers
Private wealth,['Asset & wealth management'],English,Greece-11203,Private wealth
Performans güvence hizmetleri,['Accounting & Assurance'],Turkish,Turkey-7018,Performance Assurance Services
Flere tilsynsmyndigheder introducerer krav til klimarelaterede og miljømæssige risici,"['Corporate Responsibility', 'Government & Policy', 'Governance, Controls & Compliance']",Danish,Denmark-13195,Multiple supervisory authorities introduce climate -related and environmental risk requirements
Workforce of the future: The Yellow World in 2030,['Human Resource'],English,Turkey-5444,Workforce of the future: The Yellow World in 2030
ÖTV Tutarları,['VAT & Customs'],Turkish,Turkey-7975,SCT amounts
El vehículo digital 2020,['Technology'],Spanish,Spain-1482,The Digital Vehicle 2020
PwC video IFRS Hot topics - udskiftning af IBOR,"['Banking & Financial Markets', 'Accounting & Assurance']",Danish,Denmark-12616,PwC Video IFRS Hot Topics - Replacing IBOR
PwC lidera por séptimo año consecutivo el asesoramiento en transacciones en España en 2018 según los principales rankings ,['M&A & Valuations'],Spanish,Spain-2308,PWC leads for seventh consecutive year the advice on transactions in Spain in 2018 according to the main raks
İthalatta Gözetim Uygulanmasına İlişkin Tebliğ (Tebliğ No:2020/1),['VAT & Customs'],Turkish,Turkey-7808,Communiqué on the Implementation of Import (Communiqué No: 2020/1)
Az új Bázel IV-es szabályok szükségessé teszik a banki üzleti modellek újragondolását,"['Banking & Financial Markets', 'Board, Strategy & Management']",Hungarian,Hungary-118,New Basel IV rules make you need to rethink bank business models
Transportation and Logistics,['Supply Chain & Transport'],English,Turkey-5928,Transportation and Logistics
Yeni Tecil Faizi Oranı,['Banking & Financial Markets'],Turkish,Turkey-7328,New postponement interest rate
Tax and legal news,['Tax'],English,Finland-3179,Tax and legal news
Udkast til ny benchmarkingmodel for elnet,"['Power, Energy & Renewables']",Danish,Denmark-12930,Draft new benchmarking model for electric grid
ESMAs prioriteringsområder 2020,"['Banking & Financial Markets', 'Government & Policy']",Norwegian,Norway-11802,ESMA's priority areas 2020
İthalatta Korunma Önlemlerine İlişkin Tebliğ (No: 2020/5),['VAT & Customs'],Turkish,Turkey-7857,Communiqué on Protection Measures in Imports (No: 2020/5)
İthalat Rejimi Kararına Ek Karar (Karar Sayısı: 797),['VAT & Customs'],Turkish,Turkey-7621,Additional Decision on the Import Regime Decision (Number of Decisions: 797)
CDP Climate Change Report 2016,['Corporate Responsibility'],English,Spain-1794,CDP Climate Change Report 2016
Confidence in the future: Human and machine collaboration in the audit,"['Accounting & Assurance', 'Technology']",English,Turkey-5322,Confidence in the future: Human and machine collaboration in the audit
PwCあらたとZUU、地域金融機関向けDX支援サービスで業務提携,['Banking & Financial Markets'],Japanese,Japan-9642,"PWC Arata and ZUU, business alliance with DX support services for regional financial institutions"
2018 AI predictions. 8 insights to shape business strategy,"['Technology', 'Board, Strategy & Management']",English,Spain-1812,2018 AI predictions. 8 insights to shape business strategy
HR-palvelut,['Human Resource'],Finnish,Finland-3500,HR services
Seçilmiş Gelir İdaresi Özelgeleri,['Accounting & Assurance'],Turkish,Turkey-8741,Selected Revenue Administration
Telaşlanmayın! Değerli Konut Vergisi İtirazları İçin Zamanımız Var,"['Real Estate & Construction', 'Tax']",Turkish,Turkey-8967,Don't worry! We have time for valuable housing tax objections
Liderazgo,"['Board, Strategy & Management']",Spanish,Spain-116,Leadership
Exit tax – czy nowy podatek od niezrealizowanych zysków obejmie również podatników PIT?,['Tax'],Polish,Poland-1150,Exit Tax - Will the new tax on unrealized profits also cover PIT taxpayers?
Siber Güvenlik ve PwC’nin Siber Hizmetleri,['IT Security'],Turkish,Turkey-6201,Cyber ​​Security and PWC's cyber services
Bazı KDV Hükümlerinin Uygulama Sürelerinin Uzatılması,['VAT & Customs'],Turkish,Turkey-7949,Extending the application periods of some VAT provisions
Διαχείριση Ταλέντων & Πλάνα Διαδοχής,['Human Resource'],Greek,Greece-10096,Talent Management & Succession Plans
Tilintarkastus- ja muut varmennuspalvelut - IFRS-julkaisut,['Accounting & Assurance'],Finnish,Finland-3394,Audit and other certification services- IFRS publications
Integroitu raportointi,['Accounting & Assurance'],Finnish,Finland-3452,Integrated reporting
Forvaltning af ejendomsselskaber kan være momsfritaget,"['Real Estate & Construction', 'VAT & Customs']",Danish,Denmark-13617,Management of real estate companies may be exempt from VAT
COVID-19 and its effects on employees,"['Human Resource', 'Healthcare & Pharmaceuticals']",English,Finland-3185,COVID-19 and its effects on employees
Will Polish insurers manage to implement IFRS17 on time?,"['Actuary, Pension & Insurance', 'Accounting & Assurance']",English,Poland-370,Will Polish insurers manage to implement IFRS17 on time?
Breves Energía - Enero 2017,"['Power, Energy & Renewables']",Spanish,Spain-1598,Brief Energy - January 2017
Managing the cybersecurity implications of COVID-19,"['IT Security', 'Healthcare & Pharmaceuticals']",English,Greece-10415,Managing the cybersecurity implications of COVID-19
Мировой рынок для коммерческого применения технологии дронов оценивается более чем в 127 млрд долл. США,['Technology'],Russian,Russia-11540,The global market for commercial use of drones technology is estimated at more than $ 127 billion
Cybersecurity and Awareness Training,"['IT Security', 'Human Resource']",English,Turkey-5395,Cybersecurity and Awareness Training
Transport i forbindelse med eksport af varer - ny momspraksis,"['VAT & Customs', 'Supply Chain & Transport']",Danish,Denmark-12566,Transport in connection with export of goods - new VAT practice
Fondo de Recuperación Next Generation EU,['Government & Policy'],Spanish,Spain-1539,Next Generation Recovery Fund I
Apportindskud af fast ejendom - hvad er momsgrundlaget?,"['VAT & Customs', 'Real Estate & Construction']",Danish,Denmark-12855,Real Estate APPLICATION - What is the VAT basis?
"Ny kompensationsordning, der skal sikre hjælp til barer, restauranter og caféer","['Accounting & Assurance', 'SME & Family Business', 'Government & Policy']",Danish,Denmark-13255,"New compensation scheme to ensure help with bars, restaurants and cafes"
Mere fleksible anbringelsesmuligheder af formuerne i ikke-erhvervsdrivende fonde,['Asset & wealth management'],Danish,Denmark-13286,More flexible placement options of the wealth of non-commercial funds
Etik & Uyum Yönetimi,"['Governance, Controls & Compliance']",Turkish,Turkey-6339,Ethics & Adaptation Management
Joint Ministerial Decision for offsetting R&D and investment projects related expenses with clawback published -  Clinical Trials and R&D incentive schemes for the Pharmaceutical sector in Europe,"['Healthcare & Pharmaceuticals', 'Start-Up, Innovation & Entrepreneurship', 'Accounting & Assurance']",English,Greece-10832,Joint Ministerial Decision for offsetting R&D and investment projects related expenses with clawback published -  Clinical Trials and R&D incentive schemes for the Pharmaceutical sector in Europe
שינויים במשטר מיסוי הנאמנויות במסגרת חוק ההסדרים,['Tax'],Hebrew,Israel-4466,Changes in the taxation regime under the Arrangements Law
Tax and legal news September 2018 September 2018,['Tax'],English,Finland-3279,Tax and legal news September 2018 September 2018
Med udenlandske bestyrelsesmedlemmer følger ofte krav om betaling af bidrag til social sikring i andre lande,"['Board, Strategy & Management', 'Actuary, Pension & Insurance']",Danish,Denmark-13369,With foreign board members often follow requirements for payment of contributions to social security in other countries
פסק דין חדש: סיווג תשלום ששולם לעובד בעקבות פרישתו,['Human Resource'],Hebrew,Israel-4421,New judgment: Payment classified to the employee following his retirement
Paying taxes 2016,['Tax'],English,Spain-1722,Paying taxes 2016
Transformation of the Asset Management Industry,['Asset & wealth management'],English,Turkey-5800,Transformation of the Asset Management Industry
Genç Liderler Gelişim Programı,"['Human Resource', 'Board, Strategy & Management']",Turkish,Turkey-6172,Young Leaders Development Program
Kancelaria PwC Legal doradcą firmy Profi w procesie jej przejęcia przez Bounty Brands,['M&A & Valuations'],Polish,Poland-1608,PwC Legal Kancelaria Profi advisor in the process of taking it through Bounty Brands
PwC appoints Jim Bichard as Global Insurance Leader,"['Actuary, Pension & Insurance', 'Board, Strategy & Management']",English,Global-14147,PwC appoints Jim Bichard as Global Insurance Leader
Kommunalvalg 2017 - Highlights fra pulsmålingen,['Government & Policy'],Danish,Denmark-13500,Municipal Election 2017 - Highlights from the Pulse Measurement
Russia introduces MAP guidelines,['Tax'],English,Denmark-12782,Russia introduces MAP guidelines
Pressemøde om Konkurrencerådets pensionsanalyse,"['Actuary, Pension & Insurance']",Danish,Denmark-12985,Press conference on the Competition Council's pension analysis
"IFRS news, May 2018",['Accounting & Assurance'],English,Greece-10754,"IFRS news, May 2018"
Ar-Ge/Tasarım Merkezlerinde Uzaktan Çalışma Uygulaması 31 Temmuz 2020'ye Uzatıldı,"['Human Resource', 'Start-Up, Innovation & Entrepreneurship']",Turkish,Turkey-7046,"Remote Working Application in R & D/Design Centers has been extended to July 31, 2020"
PwC、調査レポート「Women in Work Index（働く女性インデックス）」を発表‐女性の経済的エンパワーメントは着実に拡大するも、男性との賃金格差は依然として大きな課題,"['Human Resource', 'Corporate Responsibility']",Japanese,Japan-9880,"PWC announces the survey report ""WOMEN IN WORK INDEX"" -women's economic empowerment steadily expands, but wage gaps with men are still major issues."
Tax and legal news 2.10.2015,['Tax'],English,Finland-3135,Tax and legal news 2.10.2015
What are the opportunities to embrace new ways of working throughout the COVID-19 pandemic? - Ben Hamer,"['Human Resource', 'Healthcare & Pharmaceuticals']",English,Greece-10853,What are the opportunities to embrace new ways of working throughout the COVID-19 pandemic? - Ben Hamer
Vergiden Müstesna Yurt Dışı Gündelikleri,['Tax'],Turkish,Turkey-7301,Tax exceptional daily daily
Only 10 years to achieve Sustainable Development Goals but businesses remain on starting blocks for integration and progress,['Corporate Responsibility'],English,Russia-11488,Only 10 years to achieve Sustainable Development Goals but businesses remain on starting blocks for integration and progress
Vendor assistance and vendor due diligence,['M&A & Valuations'],English,Italy-5080,Vendor assistance and vendor due diligence
Personalegoder 2016,['Human Resource'],Danish,Denmark-13522,Staff benefits 2016
The next day of Greek Tourism,['Retail & Consumers'],English,Greece-10982,The next day of Greek Tourism
Política de Protección de Datos de PwC - Eventos,"['Governance, Controls & Compliance']",Spanish,Spain-1908,PWC dates protection policy - Eventos
Türkiye-Macaristan Sosyal Güvenlik Anlaşmasının Yürürlüğe Girmesi Hk.,"['Actuary, Pension & Insurance']",Turkish,Turkey-6776,Türkiye-Hungary Entering into force of the Social Security Agreement HK.
Türkiye - Moldova Sosyal Güvenlik Sözleşmesinin Yürürlüğe Girmesi Hk.,"['Actuary, Pension & Insurance']",Turkish,Turkey-6883,Türkiye - Moldova Social Security Convention enters into force HK.
"Tax and Legal news, April 2020",['Tax'],English,Finland-3212,"Tax and Legal news, April 2020"
"שינוי באופן החיוב במע""מ באיחוד האירופי","['VAT & Customs', 'Government & Policy']",Hebrew,Israel-4495,Change in the positive VAT in EU
"Podcast: Nyt om skat, uge 19 - Førtidig udbetaling af skattekredit",['Tax'],Danish,Denmark-13176,"Podcast: News about Tax, Week 19 - Payment Payment of Tax Credit"
Sisäisen valvonnan ja riskienhallinnan arviointipalvelumme,"['Governance, Controls & Compliance']",Finnish,Finland-3847,Our internal control and risk management assessment service
"AML Transaction Monitoring Overview: Banking segments differentiators - Retail, Corporate, Correspondent and Investment banking.","['Financial Crime', 'Banking & Financial Markets']",English,Poland-364,"AML Transaction Monitoring Overview: Banking segments differentiators - Retail, Corporate, Correspondent and Investment banking."
Liczba pasażerów w polskich portach lotniczych w 2016 r. zwiększy się o 10%,['Supply Chain & Transport'],Polish,Poland-1447,The number of passengers in Polish airports in 2016 will increase by 10%
"עליית שיעור המע""מ החל מיום 1 בספטמבר 2012",['VAT & Customs'],Hebrew,Israel-4363,"Immigration of VAT rate starting on September 1, 2012"
Er din bindende tariferingsoplysning (BTO) stadig gældende?,['VAT & Customs'],Danish,Denmark-12384,Is your binding tariff information (BTO) still applicable?
Technology,['Technology'],English,Greece-10555,Technology
Economic and business impacts of COVID-19 crisis - Jeremy Thorpe,"['Board, Strategy & Management', 'Healthcare & Pharmaceuticals']",English,Greece-10850,Economic and business impacts of COVID-19 crisis - Jeremy Thorpe
VAT’s up? Numer 4/2017,['VAT & Customs'],Polish,Poland-1272,VAT’s up? Numer 4/2017
TEYDEB Mali Rapor Hazırlama Kılavuzu Güncellendi,['Accounting & Assurance'],Turkish,Turkey-7052,TEYDEB Financial Report Preparation Guide Updated
Er alt med på din årsopgørelse for 2016?,['Accounting & Assurance'],Danish,Denmark-12244,Is everything on your annual statement for 2016?
Det bliver billigere at varme op med el,"['Power, Energy & Renewables']",Danish,Denmark-13221,It will be cheaper to heat up with electricity
「1対N時代の到来に向けたわが国の人材育成の在り方」 調査の結果を公表,['Human Resource'],Japanese,Japan-9758,"The results of the survey of ""How to develop human resources in Japan for the arrival of the 1 -to -N era"""
Consumer Market Italia,['Retail & Consumers'],Italian,Italy-4862,Consumer Market Italia
İşsizlik sigortası nedir? Nasıl yararlanılabilir?,"['Human Resource', 'Actuary, Pension & Insurance']",Turkish,Turkey-8484,What is unemployment insurance? How can be used?
